,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,43.1044382,-79.1104595,,Morpeth,42.391227,-81.842027,,,8,43.8811538,-78.8819412,27000,Walmart Supercentre,,,8,43.8811538,-78.8819412,,,,8,165.712,129.67,112.084,59.367,87.952,76.591,20.066,12.466,0,17.167,194.323,13.978,185.876,42.092,29.821,169.783,39.122,173.273,34.355,187.406,183.038,38.699,35.857,168.168,49.549,148.702,45.717,38.117,44.494,58.82,72.107,55.966,78.407,61.333,304.315,111.314,94.943,60.486,65.249,85.338,56.817,66.632,68.698,60.899,72.546,75.57,73.338,106.393,78.116,78.641,462.008,86.222,130.625,79.489,83.028,85.585,91.371,139.869,94.812,90.148,124.6,101.546,136.047,97.336,85.101,104.76,111.378,100.965,126.475,129.635,107.487,186.55,128.827,122.837,173.574,267.2,136.261,132.83,131.681,193.512,159.849,138.626,191.107,135.422,150.054,145.401,154.492,153.046,159.204,158.021,219.375,184.871,241.598,438.551,188.424,204.986,234.33,425.737,246.618,231.764,236.68,231.18,238.757,727.608,278.152,272.178,265.276,341.369,330.524,791.184,351.642,343.019,727.98,738.005,78.456,165.193,128.95,151.339,113.018,60.214,52.224,76.548,18.31,182.173,180.555,25.316,184.875,45.451,148.495,50.342,45.945,42.988,51.473,58.81,62.239,109.306,307.855,75.527,72.79,72.311,75.39,138.279,138.795,131.288,92.291,95.937,83.127,139.855,194.346,84.647,114.085,136.038,266.854,133.007,193.876,155.956,204.341,135.404,150.143,152.826,184.79,195.171,200.24,241.516,425.605,230.846,237.953,270.904,265.109,338.555,368.944,727.792,736.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,43.1167446,-79.1241649,,Glencoe,42.753642,-81.703367,,,9,43.9178112,-78.9602882,18000,Walmart Supercentre,,,9,43.9178112,-78.9602882,,,,9,180.808,144.767,127.18,74.463,85.636,74.275,30.619,16.58,17.825,0,204.693,10.402,196.247,30.63,29.176,180.153,27.932,183.643,33.709,197.777,174.93,34.502,35.211,178.539,38.359,140.594,34.527,37.472,43.848,47.631,60.918,44.777,67.218,60.687,296.207,103.206,83.753,49.296,71.447,74.149,57.279,55.443,57.508,67.158,83.089,64.381,83.881,95.204,66.927,87.384,453.9,94.965,119.435,87.338,71.838,94.328,80.181,128.679,105.183,78.959,134.971,90.357,146.417,86.147,89.081,115.131,125.495,89.776,136.846,118.445,96.297,175.361,139.197,133.208,162.385,256.011,146.632,121.641,134.588,182.323,170.22,141.533,201.478,138.329,152.961,148.308,157.398,155.953,162.11,160.928,222.282,187.777,230.408,427.361,191.331,207.893,223.14,414.547,249.524,234.671,239.587,234.086,241.664,716.418,266.962,275.084,268.183,344.276,333.431,783.076,354.549,345.926,716.791,726.816,82.888,180.29,144.046,149.023,128.114,75.31,67.321,74.231,17.665,192.543,190.925,24.67,176.766,34.262,140.387,39.152,45.299,42.343,40.283,58.164,61.593,101.198,299.746,64.338,61.601,82.855,85.933,148.65,149.166,120.098,103.125,111.675,71.938,128.666,183.157,92.495,124.455,146.409,255.664,121.818,182.686,166.327,214.711,138.31,153.049,155.732,187.697,183.982,203.147,230.326,414.415,233.753,240.86,259.714,268.015,341.462,371.851,716.603,725.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,43.7989827,-79.147143,,Parkhill,43.170205,-81.714354,,,10,43.0944786,-78.9785308,27000,Walmart Supercenter,,,10,43.0944786,-78.9785308,,,,10,357.059,321.017,303.431,250.714,277.221,271.588,211.413,213.893,194.076,204.036,0,183.366,17.731,210.278,165.308,26.526,178.203,26.558,166.388,40.771,344.4,177.186,159.842,33.925,187.326,310.064,173.774,158.729,152.077,166.535,186.452,161.692,192.752,135.029,465.677,254.956,209.287,159.063,132.583,186.751,155.616,159.498,150.362,134.711,122.148,156.835,121.26,187.658,145.816,117.556,623.37,111.678,211.889,118.835,138.432,111.028,156.388,221.133,107.272,132.173,71.473,143.571,83.517,139.361,116.716,90.781,82.71,127.423,76.689,210.899,110.61,267.815,86.605,94.19,254.839,348.465,97.7,174.855,131.646,241.6,121.288,138.591,132.606,135.387,152.347,145.366,154.456,153.011,159.169,157.986,192.898,158.393,283.623,519.815,188.389,204.951,232.405,507.001,220.14,205.287,210.203,204.702,222.327,808.873,279.545,245.7,265.241,314.892,304.047,952.546,325.164,316.542,809.245,866.334,126.338,356.54,320.297,346.336,304.365,251.56,243.571,271.544,177.637,13.853,16.457,169.033,346.237,173.508,309.857,170.126,156.836,154.913,167.151,137.828,133.303,253.125,469.217,156.792,154.055,121.548,118.533,57.341,57.259,212.552,108.055,99.21,138.532,221.12,275.611,118.389,81.67,83.509,348.118,175.032,241.964,117.395,133.793,135.368,150.107,152.79,158.313,195.463,173.763,283.541,506.869,204.368,241.971,290.172,265.074,312.078,342.467,809.057,865.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45.3335575,-79.2068093,,London,42.975123,-81.227119,,,11,43.8673669,-79.0134488,18000,Walmart Supercentre,,,11,43.8673669,-79.0134488,,,,11,177.111,141.069,123.482,70.766,93.623,87.99,31.465,23.864,14.128,10.17,183.378,0,174.931,33.485,18.876,158.838,25.523,162.327,23.409,176.461,186.144,27.754,24.911,157.223,34.755,151.807,32.118,27.172,33.549,46.677,59.964,43.472,66.264,50.387,307.421,114.419,82.799,47.992,54.303,73.195,45.872,54.138,56.204,49.954,61.601,63.076,62.392,93.899,65.622,67.696,465.114,75.277,118.131,68.544,70.534,74.64,78.877,127.375,83.867,77.654,113.655,89.052,125.101,84.842,74.156,93.815,100.433,88.471,115.53,117.141,82.454,174.056,117.881,111.892,161.08,254.706,125.316,120.336,120.736,181.018,148.904,127.681,180.162,124.477,139.109,134.456,143.546,142.101,148.259,147.076,208.43,173.925,229.104,426.057,177.479,194.041,221.836,413.243,235.672,220.819,225.735,220.234,227.812,715.114,265.658,261.232,254.331,330.424,319.579,794.29,340.697,332.074,715.486,725.511,67.511,176.592,140.348,162.738,124.417,71.612,63.623,87.946,7.365,171.227,169.609,14.37,187.98,31.852,151.601,36.743,34.999,32.043,40.971,47.864,51.293,112.412,310.96,63.033,60.296,61.366,64.444,127.334,127.85,118.794,81.346,84.992,70.633,127.361,181.852,73.701,103.14,125.093,254.36,120.513,181.382,145.011,193.395,124.458,139.197,141.88,173.845,182.677,189.295,229.022,413.111,219.901,227.008,258.41,254.163,327.61,357.999,715.298,724.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,43.867469,-79.2859006,,Hansall,43.444054,-81.486671,,,12,43.0680619,-79.1190893,18000,Walmart Supercentre,,,12,43.0680619,-79.1190893,,,,12,348.286,312.244,294.657,241.941,268.448,262.815,202.64,205.12,185.303,195.263,17.056,174.593,0,201.505,156.535,17.753,169.43,17.785,157.615,20.29,335.627,168.413,151.069,25.152,178.553,301.291,165,149.956,143.304,157.762,177.679,152.919,183.979,126.256,456.904,246.183,200.514,150.29,123.809,177.977,146.843,150.725,141.589,125.938,113.374,148.062,112.487,178.884,137.043,108.783,614.597,102.905,203.116,110.062,129.659,102.255,147.615,212.36,98.499,123.4,62.699,134.798,74.744,130.588,107.943,82.007,73.937,118.65,67.916,202.126,101.837,259.042,77.832,85.417,246.066,339.692,88.927,166.082,122.873,232.827,112.515,129.818,106.162,126.614,143.574,136.593,145.683,144.238,150.396,149.213,184.125,149.62,274.849,511.042,179.616,196.178,223.632,498.228,211.367,196.514,201.43,195.929,213.554,800.099,270.771,236.927,256.468,306.119,295.273,943.773,316.391,307.769,800.472,857.561,117.565,347.767,311.523,337.563,295.592,242.787,234.798,262.771,168.864,5.799,6.542,160.26,337.463,164.735,301.084,161.353,148.063,146.139,158.378,129.055,124.53,244.351,460.444,148.019,145.282,112.775,109.76,48.567,48.486,203.779,99.281,90.437,129.759,212.347,266.838,109.616,72.897,74.736,339.345,166.259,233.191,108.622,107.35,126.595,141.334,144.017,149.539,186.69,164.99,274.767,498.096,195.595,233.198,281.399,256.3,303.304,333.694,800.284,856.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,45.0486452,-79.2909789,,Lucknow,43.954378,-81.51963,,,13,44.0879299,-79.1325474,9000,Walmart,,,13,44.0879299,-79.1325474,,,,13,204.885,168.843,151.257,98.54,88.524,98.24,54.584,40.545,41.902,30.688,210.085,33.73,201.638,0,43.201,185.545,33.324,189.035,47.735,203.168,160.153,39.893,49.237,183.93,23.816,125.816,39.919,48.505,63.064,40.202,27.231,50.168,28.907,80.644,281.43,88.428,41.972,54.688,76.838,35.668,62.671,60.834,62.9,72.549,88.481,69.773,89.273,46.305,72.318,92.776,439.123,100.357,77.793,92.729,77.23,99.72,85.573,87.036,110.574,84.35,140.363,95.748,151.809,91.538,94.472,120.523,130.887,95.167,142.237,76.803,101.689,133.718,144.589,138.599,120.742,214.368,152.023,85.175,139.979,140.68,175.611,146.924,206.869,143.72,158.353,153.699,162.79,161.344,167.502,166.319,227.673,193.169,193.516,385.719,196.722,213.284,186.193,372.905,254.916,240.062,244.978,239.478,247.055,674.776,226.98,280.476,273.574,349.667,338.822,768.299,359.94,351.317,675.148,685.173,88.28,204.366,168.123,172.988,152.191,99.387,91.397,98.196,30.619,197.935,196.317,38.696,161.989,39.653,125.61,44.544,59.138,54.152,45.675,72.003,75.432,86.421,284.969,69.729,66.992,88.246,91.325,154.042,154.557,78.456,108.516,117.067,77.33,87.023,141.514,97.887,129.847,151.8,214.022,85.352,141.044,171.718,220.103,143.702,158.441,161.124,193.088,153.635,208.538,193.434,372.773,239.144,246.251,224.503,273.407,346.853,377.242,674.96,683.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,43.8575301,-79.3217194,,Chesley,44.295457,-81.109016,,,14,43.7979167,-79.2006935,36000,Walmart Supercentre,,,14,43.7979167,-79.2006935,,,,14,193.262,157.22,139.634,86.917,109.775,104.141,47.616,40.016,30.279,29.242,165.474,19.569,157.028,43.765,0,140.934,11.71,144.424,8.032,158.558,232.738,7.652,6.992,139.32,24.25,198.402,29.638,9.268,15.645,28.774,42.061,25.569,48.36,32.484,354.015,143.294,64.896,30.089,36.4,55.291,27.968,36.235,38.3,32.05,43.697,45.173,44.489,75.996,47.719,49.792,511.708,57.374,100.228,50.64,52.631,56.736,60.973,109.471,65.964,59.751,95.752,71.149,107.198,66.939,56.252,75.912,82.53,70.568,97.627,99.238,64.551,156.153,99.978,93.988,143.177,236.803,107.413,102.433,102.832,163.115,131.001,109.778,162.259,106.574,121.206,116.553,125.643,124.197,130.355,129.173,190.527,156.022,211.2,408.154,159.575,176.138,203.932,395.339,217.769,202.916,207.832,202.331,209.908,697.211,247.754,243.329,236.428,312.521,301.676,840.884,322.793,314.171,697.583,707.608,49.608,192.743,156.5,178.889,140.568,87.764,79.774,104.098,13.839,153.324,151.706,5.222,234.575,29.372,198.195,25.99,17.096,14.14,23.068,29.961,33.39,141.463,357.555,45.13,42.393,43.463,46.541,109.431,109.947,100.891,63.442,67.088,52.73,109.458,163.949,55.798,85.236,107.189,236.456,102.61,163.478,127.108,175.492,106.555,121.294,123.977,155.941,164.774,171.392,211.118,395.207,201.997,209.104,240.506,236.26,309.707,340.096,697.395,706.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,43.7364774,-79.3441019,,Kimberley,44.374063,-80.521249,,,15,43.1771009,-79.2122454,18000,Walmart Supercentre,,,15,43.1771009,-79.2122454,,,,15,332.538,296.497,278.91,226.193,252.7,247.067,186.892,189.372,169.555,179.516,27.106,158.845,18.659,185.758,140.788,0,153.683,6.451,141.867,21.825,319.879,152.666,135.321,9.404,162.805,285.543,149.253,134.209,127.556,142.014,161.931,137.171,168.231,110.508,441.156,230.435,184.767,134.543,108.062,162.23,131.096,134.978,125.841,110.19,97.627,132.314,96.739,163.137,121.295,93.036,598.85,87.157,187.369,94.314,113.912,86.507,131.867,196.613,82.751,107.652,46.952,119.051,58.997,114.84,92.195,66.26,58.189,102.902,52.169,186.379,86.089,243.294,62.084,69.669,230.318,323.944,73.18,150.334,107.125,217.08,96.768,114.07,108.085,110.866,127.826,120.845,129.936,128.49,134.648,133.465,168.377,133.872,259.102,495.295,163.868,180.43,207.884,482.481,195.62,180.766,185.682,180.181,197.807,784.352,255.024,221.179,240.72,290.371,279.526,928.025,300.644,292.021,784.724,841.814,101.818,332.02,295.776,321.815,279.844,227.04,219.051,247.023,153.117,14.955,13.337,144.513,321.716,148.988,285.336,145.605,132.315,130.392,142.63,113.308,108.782,228.604,444.696,132.271,129.534,97.027,94.012,32.82,32.738,188.032,83.534,74.69,114.011,196.599,251.09,93.869,57.149,58.988,323.598,150.512,217.443,92.875,109.272,110.848,125.587,128.27,133.792,170.943,149.242,259.02,482.349,179.848,217.45,265.652,240.553,287.557,317.946,784.536,841.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,43.7760551,-79.3445445,,Delhi,42.848417,-80.497217,,,16,43.8714791,-79.2156836,27000,Walmart Supercentre,,,16,43.8714791,-79.2156836,,,,16,204.624,168.582,150.996,98.279,103.378,97.745,54.089,40.05,41.641,30.194,179,35.049,170.553,33.865,11.915,154.46,0,157.95,17.192,172.083,226.252,6.576,15.649,152.845,15.222,191.916,8.834,17.42,31.979,21.937,35.224,19.083,41.524,49.559,347.53,136.808,58.06,23.603,45.754,48.455,31.586,29.749,31.815,41.464,57.396,38.688,58.188,69.51,41.233,61.691,505.223,69.272,93.742,61.644,46.145,68.635,54.488,102.986,79.489,53.265,109.278,64.664,120.724,60.453,63.387,89.438,99.802,64.082,111.152,92.752,70.604,149.667,113.504,107.514,136.691,230.317,120.938,95.947,108.894,156.629,144.526,115.839,175.784,112.635,127.268,122.614,131.705,130.259,136.417,135.234,196.588,162.084,204.715,401.668,165.637,182.199,197.447,388.854,223.831,208.977,213.893,208.393,215.97,690.725,241.269,249.391,242.489,318.582,307.737,834.399,328.855,320.232,691.097,701.122,57.195,204.106,167.862,172.493,151.93,99.126,91.136,97.701,17.534,166.85,165.232,12.565,228.089,8.568,191.71,13.459,28.053,23.067,14.59,40.918,44.347,134.977,351.069,38.644,35.907,57.161,60.24,122.957,123.472,94.405,77.431,85.982,46.245,102.973,157.464,66.802,98.762,120.715,229.971,96.124,156.993,140.633,189.018,112.617,127.356,130.039,162.003,158.288,177.453,204.633,388.722,208.059,215.166,234.021,242.322,315.768,346.157,690.909,699.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,43.8503102,-79.3533574,,Hagersville,42.955552,-80.05227,,,17,43.137695,-79.2234036,18000,Walmart Supercentre,,,17,43.137695,-79.2234036,,,,17,336.472,300.43,282.844,230.127,256.634,251.001,190.826,193.306,173.489,183.449,26.458,162.779,18.011,189.692,144.721,6.481,157.616,0,145.801,15.829,323.813,156.599,139.255,7.42,166.739,289.477,153.187,138.142,131.49,145.948,165.865,141.105,172.165,114.442,445.09,234.369,188.7,138.477,111.996,166.164,135.03,138.911,129.775,114.124,101.561,136.248,100.673,167.071,125.229,96.969,602.783,91.091,191.303,98.248,117.846,90.441,135.801,200.546,86.685,111.586,50.886,122.985,62.93,118.774,96.129,70.194,62.123,106.836,56.102,190.313,90.023,247.228,66.018,73.603,234.252,327.878,77.113,154.268,111.059,221.014,100.702,118.004,103.283,114.8,131.76,124.779,133.87,132.424,138.582,137.399,172.311,137.806,263.036,499.229,167.802,184.364,211.818,486.414,199.553,184.7,189.616,184.115,201.74,788.286,258.958,225.113,244.654,294.305,283.46,931.959,304.578,295.955,788.658,845.748,105.751,335.953,299.71,325.749,283.778,230.974,222.984,250.957,157.05,13.903,11.963,148.447,325.65,152.921,289.27,149.539,136.249,134.326,146.564,117.242,112.716,232.538,448.63,136.205,133.468,100.961,97.946,36.754,36.672,191.966,87.468,78.623,117.945,200.533,255.024,97.802,61.083,62.922,327.531,154.445,221.377,96.809,104.471,114.782,129.52,132.203,137.726,174.876,153.176,262.954,486.282,183.782,221.384,269.586,244.487,291.491,321.88,788.47,845.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43.655596,-79.382963,,Smithville,43.089083,-79.578485,,,18,43.7427886,-79.2237002,18000,Walmart Supercentre,,,18,43.7427886,-79.2237002,,,,18,197.405,161.364,143.777,91.061,113.918,108.285,51.759,44.159,34.423,33.385,167.341,23.712,158.894,47.909,9.318,142.801,17.282,146.291,0,160.424,234.605,11.44,7.085,141.186,44.801,200.268,17.381,10.345,6.298,30.64,43.927,27.436,50.227,29.485,355.882,145.16,66.763,31.955,37.496,57.158,29.06,38.101,40.167,33.917,45.564,47.04,46.356,77.862,49.586,51.659,513.575,59.24,102.094,52.507,54.497,58.603,62.84,111.338,67.83,61.617,97.618,73.016,109.065,68.805,58.119,77.778,84.396,72.434,99.493,101.104,66.417,158.019,101.845,95.855,145.044,238.67,109.279,104.299,104.699,164.982,132.867,111.644,164.125,108.44,123.072,118.419,127.51,126.064,132.222,131.039,192.393,157.889,213.067,410.02,161.442,178.004,205.799,397.206,219.636,204.782,209.698,204.198,211.775,699.077,249.621,245.196,238.294,314.387,303.542,842.751,324.66,316.037,699.449,709.474,51.474,196.887,160.643,183.033,144.711,91.907,83.918,108.241,17.982,155.191,153.573,10.052,236.441,17.115,200.062,27.856,11.78,16.006,24.934,21.747,25.176,143.329,359.421,46.997,44.26,45.329,48.408,111.297,111.813,102.757,65.309,68.955,54.597,111.325,165.816,57.665,87.103,109.056,238.323,104.477,165.345,128.974,177.359,108.422,123.161,125.844,157.808,166.64,173.258,212.985,397.074,203.864,210.971,242.373,238.127,311.573,341.962,699.261,708.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,43.632655,-79.411641,,Hamilton,43.247337,-79.899835,,,19,43.0169909,-79.2276581,27000,Walmart Supercentre,,,19,43.0169909,-79.2276581,,,,19,350.852,314.81,297.223,244.507,271.014,265.38,205.206,207.685,187.869,197.829,41.052,177.158,19.723,204.071,159.101,22.132,171.996,16.242,160.181,0,338.193,170.979,153.635,21.799,181.118,303.857,167.566,152.522,145.869,160.327,180.245,155.485,186.545,128.821,459.47,248.749,203.08,152.856,126.375,180.543,149.409,153.291,144.155,128.504,115.94,150.628,115.053,181.45,139.609,111.349,617.163,105.471,205.682,112.627,132.225,104.821,150.181,214.926,101.065,125.966,65.265,137.364,56.181,133.154,110.509,84.573,76.503,121.215,70.482,204.692,104.402,261.607,80.397,87.982,248.632,342.258,91.493,168.648,125.438,235.393,115.081,132.384,92.982,129.18,146.14,139.159,148.249,146.803,152.961,151.779,130.248,152.186,277.415,513.608,182.181,198.744,226.198,500.794,213.933,199.079,203.995,198.495,216.12,802.665,273.337,239.493,259.034,308.684,297.839,946.339,318.957,310.334,803.037,860.127,120.131,350.333,314.089,340.128,298.158,245.353,237.364,265.337,171.43,24.669,22.729,162.826,340.029,167.301,303.65,163.918,150.629,148.705,160.944,131.621,127.095,246.917,463.009,150.585,147.848,115.341,112.326,51.133,51.051,206.345,101.847,93.003,132.325,214.913,269.404,112.182,75.463,77.301,341.911,168.825,235.757,111.188,94.17,129.161,143.9,146.583,152.105,189.256,167.555,277.333,500.662,198.161,235.764,283.965,258.866,305.87,336.259,802.85,859.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,44.5971173,-79.4533002,,Brantford,43.16726,-80.28985,,,20,45.3435343,-79.2300676,27000,Walmart Supercentre,,,20,45.3435343,-79.2300676,,,,20,304.326,266.39,295.169,242.452,196.193,198.962,196.229,181.652,183.493,175.828,344.631,187.287,336.184,161.051,232.873,320.091,226.574,323.581,233.953,337.715,0,225.557,227.407,318.477,184.175,36.997,222.145,226.294,229.476,201.471,189.002,210.063,183.377,215.448,123.265,93.173,160.905,207.435,211.643,179.774,203.987,193.783,197.312,207.354,219.022,190.346,219.813,163.808,206.865,227.322,280.958,234.903,133.936,227.276,211.776,234.266,197.578,127.275,245.121,218.896,274.909,230.295,286.355,226.084,229.018,255.069,265.433,229.713,276.784,163.271,236.235,135.199,279.135,273.145,144.074,75.507,286.569,211.618,274.525,168.289,310.158,281.471,341.416,278.267,250.028,288.246,297.336,295.89,302.048,300.866,362.22,327.715,227.117,248.028,331.268,276.548,235.647,234.044,389.462,374.609,379.525,374.024,381.601,490.024,278.131,415.022,335.693,484.214,473.369,610.134,494.486,485.864,536.287,546.312,222.826,303.807,267.138,227.905,296.103,243.299,235.309,199.525,195.299,332.481,330.863,236.598,3.091,221.879,36.79,218.497,225.549,220.563,215.522,238.414,230.659,94.172,126.805,191.077,192.498,218.787,221.865,288.588,289.104,135.032,243.063,242.413,211.876,127.262,106.519,232.433,264.393,286.346,75.161,211.795,168.653,306.265,354.649,278.248,292.987,295.67,327.634,235.876,343.085,226.961,233.912,373.69,380.798,307.386,335.525,481.4,511.789,536.099,544.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,46.3322312,-79.4708852,,Kitchener,43.452868,-80.529751,,,21,43.8333939,-79.2553806,27000,Walmart Supercentre,,,21,43.8333939,-79.2553806,,,,21,202.473,166.431,148.844,96.128,106.889,101.255,57.6,43.56,39.49,33.704,178.03,28.779,169.583,39.946,7.868,153.49,6.548,156.98,11.58,171.113,225.282,0,9.22,151.875,14.306,190.946,6.453,9.015,17.057,20.967,34.254,18.113,40.554,33.912,346.56,135.838,57.09,22.633,44.784,47.485,30.616,28.779,30.845,40.494,56.426,37.718,57.218,68.54,40.263,60.721,504.253,68.302,92.772,60.674,45.175,67.665,53.518,102.016,78.519,52.295,108.308,63.693,119.754,59.483,62.417,88.468,98.832,63.112,110.182,91.782,69.634,148.697,112.534,106.544,135.721,229.347,119.968,94.977,107.924,155.659,143.556,114.869,174.814,111.665,126.298,121.644,130.735,129.289,135.447,134.264,195.618,161.114,203.745,400.698,164.667,181.229,196.477,387.884,222.861,208.007,212.923,207.423,215,689.755,240.299,248.421,241.519,317.612,306.767,833.429,327.885,319.262,690.127,700.152,56.225,201.954,165.71,176.003,149.779,96.974,88.985,101.212,23.049,165.88,164.262,14.433,227.119,6.187,190.74,12.489,18.508,15.526,13.62,31.373,34.801,134.007,350.099,37.674,34.937,56.191,59.27,121.987,122.502,93.435,76.461,85.012,45.275,102.003,156.494,65.832,97.792,119.745,229.001,95.154,156.023,139.663,188.048,111.647,126.386,129.069,161.033,157.318,176.483,203.663,387.752,207.089,214.196,233.051,241.352,314.798,345.187,689.939,698.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,43.8502944,-79.5335381,,Durham,44.16818,-80.84166,,,22,43.7772362,-79.258536,27000,Walmart Supercentre,,,22,43.7772362,-79.258536,,,,22,198.078,162.036,144.45,91.733,114.591,108.957,52.432,44.832,35.095,34.058,160.205,24.385,151.758,48.581,6.33,135.665,28.757,139.155,6.965,153.288,227.428,9.288,0,134.05,37.624,193.092,12.122,3.985,10.361,23.463,36.75,20.259,43.05,27.216,348.705,137.984,59.586,24.778,31.136,49.981,22.7,30.924,32.99,26.781,38.428,39.863,39.22,70.685,42.409,44.523,506.398,52.104,94.917,45.371,47.32,51.467,55.663,104.161,60.694,54.44,90.482,65.839,101.928,61.628,50.983,70.642,77.26,65.257,92.357,93.927,59.281,150.842,94.709,88.719,137.867,231.493,102.143,97.122,97.563,157.805,125.731,104.508,156.989,101.304,115.936,111.283,120.374,118.928,125.086,123.903,185.257,150.753,205.89,402.843,154.306,170.868,198.622,390.029,212.5,197.646,202.562,197.061,204.639,691.9,242.444,238.059,231.158,307.251,296.406,835.574,317.524,308.901,692.272,702.297,44.338,197.559,161.316,183.705,145.384,92.58,84.59,108.914,18.654,148.054,146.436,10.038,229.264,11.857,192.885,20.679,11.812,8.83,17.757,24.677,28.105,136.152,352.244,39.82,37.083,38.193,41.272,104.161,104.677,95.58,58.173,61.819,47.42,104.148,158.639,50.529,79.967,101.92,231.146,97.3,158.168,121.838,170.223,101.286,116.025,118.707,150.672,159.463,166.122,205.808,389.897,196.728,203.835,235.196,230.991,304.437,334.826,692.085,700.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,43.82729,-79.538883,,Singhampton,44.360445,-80.249085,,,23,43.1514837,-79.2679771,18000,Walmart Supercentre,,,23,43.1514837,-79.2679771,,,,23,331.274,295.233,277.646,224.93,251.437,245.803,185.628,188.108,168.292,178.252,34.379,157.581,25.933,184.494,139.524,5.616,152.419,7.118,140.604,21.251,318.616,151.402,134.058,0,161.541,284.279,147.989,132.945,126.292,140.75,160.668,135.908,166.967,109.244,439.893,229.171,183.503,133.279,106.798,160.966,129.832,133.714,124.578,108.926,96.363,131.051,95.475,161.873,120.032,91.772,597.586,85.894,186.105,93.05,112.648,85.244,130.604,195.349,81.487,106.389,45.688,117.787,57.733,113.577,90.931,64.996,56.925,101.638,50.905,185.115,84.825,242.03,60.82,68.405,229.054,322.68,71.916,149.071,105.861,215.816,95.504,112.807,103.135,109.603,126.563,119.582,128.672,127.226,133.384,132.201,167.113,132.609,257.838,494.031,162.604,179.166,206.62,481.217,194.356,179.502,184.418,178.918,196.543,783.088,253.76,219.916,239.457,289.107,278.262,926.762,299.38,290.757,783.46,840.55,100.554,330.756,294.512,320.551,278.58,225.776,217.787,245.76,151.853,22.229,17.385,143.249,320.452,147.724,284.073,144.341,131.051,129.128,141.366,112.044,107.518,227.34,443.432,131.007,128.27,95.763,92.749,31.556,31.474,186.768,82.27,73.426,112.748,195.336,249.827,92.605,55.885,57.724,322.334,149.248,216.179,91.611,104.323,109.584,124.323,127.006,132.528,169.679,147.978,257.756,481.085,178.584,216.187,264.388,239.289,286.293,316.682,783.272,839.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
